Lat,Lon,City,State
40.7127281,-74.0060152,New York City,New York
34.0536909,-118.2427666,Los Angeles,California
41.8755616,-87.6244212,Chicago,Illinois
29.7589382,-95.3676974,Houston,Texas
39.9527237,-75.1635262,Philadelphia,Pennsylvania
33.4484367,-112.0741417,Phoenix,Arizona
29.4246002,-98.4951405,San Antonio,Texas
32.7174209,-117.1627714,San Diego,California
32.7762719,-96.7968559,Dallas,Texas
37.3361905,-121.8905833,San Jose,California
21.304547,-157.8556764,Honolulu,Hawaii
30.2711286,-97.7436995,Austin,Texas
39.7683331,-86.1583502,Indianapolis,Indiana
30.3321838,-81.655651,Jacksonville,Florida
37.7790262,-122.4199061,San Francisco,California
39.9622601,-83.0007065,Columbus,Ohio
35.2271986,-80.843083,Charlotte,NorthCarolina
32.753177,-97.3327459,Fort Worth,Texas
42.3315509,-83.0466403,Detroit,Michigan
31.7754152,-106.4646348,El Paso,Texas
35.1490215,-90.0516285,Memphis,Tennessee
47.6038321,-122.3300624,Seattle,Washington
39.7392364,-104.9848623,Denver,Colorado
42.3602534,-71.0582912,Boston,Massachusetts
36.1622296,-86.7743531,Nashville,Tennessee
39.2908816,-76.610759,Baltimore,Maryland
35.4729886,-97.5170536,Oklahoma City,Oklahoma
38.2542376,-85.759407,Louisville,Kentucky
45.5202471,-122.6741949,Portland,Oregon
36.1672559,-115.1485163,Las Vegas,Nevada
43.0349931,-87.922497,Milwaukee,Wisconsin
35.0841034,-106.6509851,Albuquerque,NewMexico
32.2228765,-110.9748477,Tucson,Arizona
36.7295295,-119.7088613,Fresno,California
38.5815719,-121.4943996,Sacramento,California
33.7690164,-118.1916048,Long Beach,California
39.100105,-94.5781416,Kansas City,Missouri
33.4151117,-111.8314773,Mesa,Arizona
36.8529841,-75.9774183,Virginia Beach,Virginia
33.7490987,-84.3901849,Atlanta,Georgia
38.8339578,-104.8253485,Colorado Springs,Colorado
41.2587459,-95.9383758,Omaha,Nebraska
35.7803977,-78.6390989,Raleigh,NorthCarolina
25.7742658,-80.1936589,Miami,Florida
37.8044557,-122.2713563,Oakland,California
44.9772995,-93.2654692,Minneapolis,Minnesota
36.1556805,-95.9929113,Tulsa,Oklahoma
41.5051613,-81.6934446,Cleveland,Ohio
37.6922361,-97.3375448,Wichita,Kansas
32.701939,-97.1056248,Arlington,Texas
29.9499323,-90.0701156,New Orleans,Louisiana
35.3738712,-119.0194639,Bakersfield,California
27.9477595,-82.458444,Tampa,Florida
39.729432,-104.8319196,Aurora,Colorado
33.8347516,-117.911732,Anaheim,California
33.7494951,-117.8732213,Santa Ana,California
38.6268039,-90.1994097,St. Louis,Missouri
33.9533546,-117.3961623,Riverside,California
27.7477253,-97.4014129,Corpus Christi,Texas
38.0464066,-84.4970393,Lexington,Kentucky
40.4416941,-79.9900861,Pittsburgh,Pennsylvania
61.2163129,-149.8948523,Anchorage,Alaska
37.9577016,-121.2907796,Stockton,California
39.1014537,-84.5124602,Cincinnati,Ohio
44.9504037,-93.1015026,St. Paul,Minnesota
41.6786754,-83.5127283,Toledo,Ohio
36.0726355,-79.7919754,Greensboro,NorthCarolina
40.735657,-74.1723667,Newark,NewJersey
33.0136764,-96.6925096,Plano,Texas
36.0301134,-114.9826194,Henderson,Nevada
40.8088861,-96.7077751,Lincoln,Nebraska
42.8867166,-78.8783922,Buffalo,NewYork
40.7281575,-74.0776417,Jersey City,NewJersey
32.6400541,-117.0841955,Chula Vista,California
41.0799898,-85.1386015,Fort Wayne,Indiana
28.5421109,-81.3790304,Orlando,Florida
27.7703796,-82.6695085,St. Petersburg,Florida
33.3062223,-111.8413317,Chandler,Arizona
27.5199841,-99.4953764,Laredo,Texas
36.8462923,-76.2929252,Norfolk,Virginia
35.996653,-78.9018053,Durham,NorthCarolina
43.074761,-89.3837613,Madison,Wisconsin
33.5635206,-101.879336,Lubbock,Texas
33.6856969,-117.8259819,Irvine,California
36.0998131,-80.2440518,Winston-Salem,NorthCarolina
33.5386858,-112.1859941,Glendale,Arizona
32.912624,-96.6388833,Garland,Texas
25.8575963,-80.2781057,Hialeah,Florida
39.5261206,-119.8126581,Reno,Nevada
36.7183708,-76.2466798,Chesapeake,Virginia
33.3527632,-111.7890373,Gilbert,Arizona
30.4459596,-91.18738,Baton Rouge,Louisiana
32.8295183,-96.9442177,Irving,Texas
33.4942189,-111.9260184,Scottsdale,Arizona
36.2005843,-115.1215844,North Las Vegas,Nevada
37.5482697,-121.9885719,Fremont,California
43.6166163,-116.200886,Boise,Idaho
34.8253019,-116.0833144,San Bernardino,California
33.5206824,-86.8024326,Birmingham,Alabama
37.5385087,-77.43428,Richmond,Virginia
