Employer,Title,City,Job ID,Time Posted,Job Board,Lat,Lng,CityCount
Premier Associates Inc,"Vice President, Logistics","Dallas, TX 75241 (South Dallas area)",sja0,Just posted,Indeed.com,32.860545,-96.91515431654948,1
RKD Group (DMI is now part of RKD Group),Financial Analyst,"Richardson, TX",sja1,Just posted,Indeed.com,32.9481789,-96.7297206,3
FedEx Ground Careers US,Operations Safety Specialist,"Hutchins, TX 75141",jl_4aa936456c5ba268,Just posted,Indeed.com,32.6493,-96.7130521,1
Catalyst Corporate Federal Credit Union,Financial Analyst I,"Plano, TX 75024",jl_e766eb5a7d074a84,Just posted,Indeed.com,33.0136764,-96.6925096,4
Freese & Nichols Inc,GIS Analyst I,"Dallas, TX 75204 (M Streets area)",jl_0f5882e9ea5fbb07,Just posted,Indeed.com,,,1
Polk Mechanical Company LLC,HVAC Service Manager,"Grand Prairie, TX 75051",jl_f75021285a8f5a39,Just posted,Indeed.com,32.657368000000005,-97.02846624175038,1
CyberCoders,REMOTE Data Analyst (Mobile Gaming),"Dallas, TX 75226 (Northeast Dallas area)",sja6,Today,Indeed.com,32.81251075,-96.7329977452791,1
West Coast University,Campus Registrar,"Dallas, TX 75247 (Northwest Dallas area)",jl_202144a38e0b839e,Today,Indeed.com,32.860545,-96.91515431654948,1
ST Strategy & Technology,CMDB & Service Catalog Data Analyst.,"Dallas, TX",jl_146f40a3fff8811e,Today,Indeed.com,32.7762719,-96.7968559,34
Outmatch,Client Solutions Partner,"Dallas, TX 75240 (Far North area)",sja9,Today,Indeed.com,,,1
"SOUTHWEST TRANSPLANT ALLIANCE, INC.",Hospital Services Coordinator,"Dallas, TX 75231 (Lake Highlands area)",jl_a9256a2fc588f394,Today,Indeed.com,32.9192176,-96.72936554809058,1
MUFG,Global Financial Crimes Compliance Program Operations Analys...,"Irving, TX",jl_bf431950ef4adab9,Today,Indeed.com,32.8295183,-96.9442177,7
PenFed Credit Union,Mortgage Underwriter,"Dallas, TX 75205 (Highland Park area)",jl_0aec94edb6fdd2f9,Today,Indeed.com,32.831563,-96.80077329849314,1
opentext,Sr. Software Engineer,"Dallas, TX",jl_7f07a5f077e59f90,Today,Indeed.com,32.7762719,-96.7968559,34
KPMG,"Manager, Advanced Analytics Consultant","Dallas, TX",jl_6825cb8b7f2d0219,Today,Indeed.com,32.7762719,-96.7968559,34
Spectrum,"Manager, Sales Enablement - Spectrum Enterprise","Coppell, TX 75019",jl_c402da76cb062668,Today,Indeed.com,32.9552598,-97.0155703,1
"JPMorgan Chase Bank, N.A.",CB Client Service Associate,"Dallas, TX",jl_51dd17a6debcc2f8,Today,Indeed.com,32.7762719,-96.7968559,34
Aperia Solutions,Junior Business Analyst,"Dallas, TX 75254 (Far North area)",jl_5ef4a5adf9e39897,Today,Indeed.com,,,1
"7-Eleven, Inc.",Senior Digital Product Strategy Associate,"Irving, TX 75063 (Valley Ranch area)",jl_7927231d8915e695,Today,Indeed.com,32.9341549,-96.9531951,1
