Employer,Title,City,Job ID,Time Posted,Job Board,Lat,Lng,CityCount
Diagnostic Robotics,Product Designer,New York NY,jl_bf6a66bbbe0da887,Just posted,Indeed.com,40.7127281,-74.0060152,98
"JPMorgan Chase Bank, N.A.","Digital - Sr. Customer Experience Designer, Associate",New York NY,jl_e6f940dc9e8ec5d7,Just posted,Indeed.com,40.7127281,-74.0060152,98
"JPMorgan Chase Bank, N.A.",Service Designer - Associate,New York NY,jl_3dda0e3ffe107fb2,Today,Indeed.com,40.7127281,-74.0060152,98
"JPMorgan Chase Bank, N.A.",Senior Service Designer - Vice President,New York NY,jl_547ba250cdc32bb7,Today,Indeed.com,40.7127281,-74.0060152,98
KLM Careers,Product Designer - New York City,New York NY,jl_ab869fd5d317b3a9,Today,Indeed.com,40.7127281,-74.0060152,98
"Evergreen Technologies, LLC.",Content Designer,New York NY,jl_5180146b39514ad0,Today,Indeed.com,40.7127281,-74.0060152,98
"JPMorgan Chase Bank, N.A.","Digital - User Experience Design Lead, VP",New York NY,jl_760909bd2df6f94e,Today,Indeed.com,40.7127281,-74.0060152,98
Eko,UX Designer,New York NY,jl_c228264cb10b7640,1 day ago,Indeed.com,40.7127281,-74.0060152,98
Tailwind,Product Designer,New York NY,jl_e7ce1c8ad4c70b04,1 day ago,Indeed.com,40.7127281,-74.0060152,98
eko,UX Researcher & Designer,New York NY,jl_24a44e72b16839cb,1 day ago,Indeed.com,40.7127281,-74.0060152,98
frog,Freelance Senior Visual Designer,New York NY,jl_eb2c940290e4ee99,1 day ago,Indeed.com,40.7127281,-74.0060152,98
Amazon.com Services LLC,"UX Designer, Fire TV",New York NY,jl_3e1155d3e95e58db,1 day ago,Indeed.com,40.7127281,-74.0060152,98
Cella,Graphic Designer,Brooklyn NY,jl_04928819abc81581,1 day ago,Indeed.com,40.6501038,-73.9495823,3
The Farmer's Dog,Product Designer,New York NY,jl_c36c1c04af5493a1,1 day ago,Indeed.com,40.7127281,-74.0060152,98
Discovery,Sr. Product Designer,New York NY,jl_3d0311bc4e3730ee,1 day ago,Indeed.com,40.7127281,-74.0060152,98
"JPMorgan Chase Bank, N.A.","Digital - Sr User Experience Designer, Associate",New York NY,jl_5ed1dfca31d61198,1 day ago,Indeed.com,40.7127281,-74.0060152,98
Cohley,Senior UX | UI Designer,New York NY,jl_4cbef8f158f6efd4,1 day ago,Indeed.com,40.7127281,-74.0060152,98
JOOR,Senior UI/UX Product Designer,New York NY,jl_e9d78bbb29b5df2e,1 day ago,Indeed.com,40.7127281,-74.0060152,98
ELLKAY LLC,UI/UX/Web Graphic Designer,Elmwood Park NJ,jl_8ea5e441231379fc,1 day ago,Indeed.com,40.9074237,-74.1183543,2
"Pyramid Consulting, Inc",Product Designer,Newark NJ,sja4,2 days ago,Indeed.com,40.735657,-74.1723667,2
Penguin Random House LLC,Junior UI Designer,New York NY,jl_d408f073ccf6feb6,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Invonto,UX Designer / Website developer,New York NY,jl_1f2b1cee1b0a0e79,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Carrier,Interaction Designer,New York NY,jl_0a2c4f78265abcd2,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Verus Analytics,User Experience Designer,New York NY,jl_e561189faaafb5ee,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Cervello Inc,UI/UX Designer,New York NY,jl_f3cf43bb4e980ff7,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Walmart,Associate Designer,New York NY,jl_832b35a0e5bbfb13,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Kargo,Product Designer,New York NY,jl_b68a43b4a6d59497,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Arcadia,Product Designer,New York NY,jl_3da0ae23435b0ef5,2 days ago,Indeed.com,40.7127281,-74.0060152,98
"Evergreen Technologies, LLC.",Front-End Web Developer/Designer - UX Designer,New York NY,jl_2846c779b3109e6e,2 days ago,Indeed.com,40.7127281,-74.0060152,98
American Express,"Directors, UX Design",New York NY,jl_84345937ad4d3e9e,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Produce Capital,Web Designer UI/UX Intern,New York NY,jl_908f83232f6d4cd1,Active 2 days ago,Indeed.com,40.7127281,-74.0060152,98
Hired Recruiters,Designer & Front End Developer,New York NY,jl_d70587dfc418b640,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Boom Sports,Director of Product Design,New York NY,jl_e5daf4af9c358d66,2 days ago,Indeed.com,40.7127281,-74.0060152,98
"Catchafire, Inc.",Senior Product Designer,New York NY,jl_aff340d42628a0f5,2 days ago,Indeed.com,40.7127281,-74.0060152,98
Bloomberg,Senior Visual Designer for Web & Mobile - Contract Role,New York NY,jl_9f8994cae86f9693,2 days ago,Indeed.com,40.7127281,-74.0060152,98
